Title,description,authors,publisher,publishedDate,categories,Id,User_id,review/helpfulness,review/score,review/time,review/summary,review/text,year,language
Jingo,"It isn't much of an island that rises up one moonless night from the depths of the Circle Sea—just a few square miles of silt and some old ruins. Unfortunately, the historically disputed lump of land called Leshp is once again floating directly between Ankh-Morpork and the city of Al-Khali on the coast of Klatch—which is spark enough to ignite that glorious international pastime called ""war."" Pressed into patriotic service, Commander Sam Vimes thinks he should be leading his loyal watchmen, female watchdwarf, and lady werewolf into battle against local malefactors rather than against uncomfortably well-armed strangers in the Klatchian desert. But war is, after all, simply the greatest of all crimes—and it's Sir Samuel's sworn duty to seek out criminal masterminds wherever they may be hiding and lock them away before they can do any real damage . . . even the ones on his side.",['Terry Pratchett'],Harper,2014-04-29,['Fiction'],0753108844,AQTM43PL9LAVW,3/3,5.0,1097798400,Another Brilliant Pratchett,"Once again Terry Pratchett mirrors the irreverence of our own world with this charming little novel concerning a war between a very western Ankh-Morpork and a very middle-eastern Klatch. As usual the references from literature and the history of the real world as well as aspects of current events wormed their way through that beautiful dimensional portal in Pratchett's brain to give us a delightful romp and thought provoking look at one of the most basic and primal human events. It was written in the finest tradition of the City Watch series which seem to always show that true duty and realism tend to win out over the insanity that the majority of the world engages in. Watch out for 71-Hour Ahmed and the rest of the D'Regs, but they even seem weak next to the power of Corporal Nobbs in a dress. If you're a Pratchett fan, you're going to read it, and if you're not a Pratchett fan, become one.",2014,en
Of Mice and Men (Penguin Audiobooks),"Penguin Classics presents John Steinbeck’s classic tale as an eBook enhanced with ten exclusive video clips featuring students responses, questions for classroom discussions, and an American Dream assignment Nobel Prize-winner John Steinbeck’s Of Mice and Men remains one of America's most widely read and taught novels. An unlikely pair, George and Lennie, two migrant workers in California during the Great Depression, grasp for their American Dream. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. Of Mice and Men: Teacher’s Edition includes the following: • An introduction and suggested further reading by Susan Shillinglaw, a professor of English at San Jose State University and Scholar-in-Residence at the National Steinbeck Center in Salinas • The poem “To a Mouse, On Turning Her Up in Her Nest with the Plough, November 1785” by Robert Burns (the original source of Steinbeck’s title Of Mice and Men) • The 1962 Nobel Banquet Speech by John Steinbeck • An exclusive audio interview with award-winning actor James Earl Jones on his stage performances in Of Mice and Men • Ten exclusive videos of students on major themes from the novel tied to group discussion questions included in the eBook, and an American Dream assignment, for the ultimate educational experience",['John Steinbeck'],Penguin,2013-01-03,['Fiction'],0140860096,A24M2KN27MDEXO,1/1,5.0,1064275200,The Best Book I Was Ever Forced To Read...,"Twice, once in a Junior High English Class and again in High School I was required to read John Steinbeck's ""Of Mice and Men."" Each time I have read it since, I have enjoyed it more and more. It is a brief, easy-to-read but emotionally resonant novel about two migrant workers set in the California countryside. As with most of Steinbeck's classic work, the prose is very discriptive while not being clunky or overly verbose. The themes of friendship and brotherly love are apparent on every page and aren't as emotionally manipulative as many books that try to be today. I would recommend this book to anyone looking for a great read. Unlike many alleged ""classics"" I've been forced to read in class its actually a great book and I had no problem reading it outside of class (I couldn't say as much for A Farewell To Arms, but oh well :-) ). I would recommend this book for anyone from a mature junior high reader up. The violence might be a little much for someone younger than that (and might be a reason why the book has been, unfortunately, banned so many times).",2013,en
Fiesta [The Sun Also Rises].,"First published in 1926, ‘The Sun Also Rises’ is Ernest Hemingway’s first novel and a classic example of his spare but influential writing style. A poignant look at the disillusionment and angst of the post-World War I generation, the novel introduces two of Hemingway's most unforgettable characters: Jake Barnes and Lady Brett Ashley. Based on Hemingway's experiences, it is the story of a group of American and English expatriates living in Paris who take an excursion to Pamplona, Spain. The novel has forever associated Hemingway with bullfights and the running of the bulls. This powerful work of modern fiction, filled with memorable characters and universal themes, is summarized in this volume, which is enhanced by thought-provoking critical extracts and focused biographical details. The novel helped to establish Hemingway as one of the greatest writers of the twentieth century.","['Ernest Hemingway', 'Digital Fire']",DIGITAL FIRE,2022-05-15,['Fiction'],B000MY6VHK,A2U2GKORNOMWTN,8/16,1.0,962668800,What the f--- was Hemingway smoking when he wrote this?,"Hemingway is a great writer - this book does nothing but degrade, demote, and humiliate him. An undoubtedly horrible piece literature. The whole damned book is either set at caf&eacute;s or restaurants, for that's where all the main characters are always at.When I was at around page 200, I was telling myself: &quot;Man, I just know this book is not going to end in such tedium. It'll have an unexpected ending or something, like A Farewell to Arms - something has to happen!&quot; But, alas! my prayers were all in vain - nothing ever happened. And that's it. Show's over. The end.Where the hell do people come off giving this book rave reviews and high acclaim? Where do these crackheads come from? The dialogue was horrible, the storyline utterly horrific. Nothing ever f---ing happens. This book was nothing like A Farewell to Arms or The Old Man and the Sea - it was BORING!I don't know; if the next book I read by Hemingway is like this, I'm gonna have to give a farewell to Hemingway.",2022,en
Secret Weapons of Jujutsu,"Secret Weapons of Jujutsu is the first jujutsu book in English that deals with the full array of small hand weapons used by the Japanese samurai and constabulary. This martial arts manual includes a history of the weapons and discussions of hibuki (concealed weapons), improvised weapons, and traditional battlefield weapons such as: kansashi (a long, pointed metal hairpin worn by men and women) kokai and kudzuka (small utility knives) shoku (fire ax) shakuhachi (a bamboo flute — a particular favorite of monks) yawara (short wooden rod) manriki-gusari (weighted chain) suntetsu (short iron bar) lessen (iron war fan). Secret Weapons of Jujutsu discusses the weapons and demonstrates their use, in a series of clear, easy to follow photographs. Also included are historical photographs, as well as reproductions of paintings and line drawings, of these weapons and their bearers.",['Don Cunningham'],Tuttle Publishing,2015-12-08,['Sports & Recreation'],0970280807,A2TZK15FG8DG3L,4/9,5.0,993600000,Well researched and well written,Cunningham Sensei provides a great deal of information and technique on a seldom explored aspect of traditional Jujitsu. The text and illustrations are excellent and demonstrate Cunningham's obvious knowledge and experience.,2015,en
The Wish,"Charles wants to find a wish tree. His brother and sister don't believe there is such a thing, but his trusty companion Boggan is ready to join Charles on a journey to find out. And along the way, they discover that wishes can come true in the most unexpected ways. The poetic text and heartwarming illustrations evoke the true essence of the holiday season and will inspire wishers everywhere. This gem of a book deserves center stage year round.","['Chris Turnham', 'Kyo Maclear']",Chronicle Books,2016-09-27,['Juvenile Fiction'],0060279001,A24A179RV7YTUL,2/2,5.0,1217635200,Fairy Godmother,"The WishBy Gail Carson LevineWho ever had a name like Wilma? The only other Wilma she could think of was a Flintstone.Wilma loved animals, especially dogs. She always felt loved by her dog Reggie. At school she didn't fit in with the popular kids, and somehow it didn't make sense to hang out with the unpopular kids. Mostly, everyone ignored the eighth-grade girl.When she gave up her seat on the train for an old woman, the woman thanked her and told her that in order to repay her kindness, she would grant one wish. The woman looked old, but didn't sound like an old woman.Wilma, not believing the woman, said she wanted to be the most popular girl at her middle school.The wish was granted. Wilma's phone never stopped ringing. She had more than 25 invitations to the Grad night dance, and many were from the boyfriends of her new friends. But, the worries of her new popularity began early on. Do the new friends really like her? Will her popularity end when she graduates from middle school?Wilma didn't ever act like a popular girl. She included other unpopular kids in her new circle. She helped others with homework, and out of all the possible dates she could have for the dance, she chose an unpopular boy who also loved animals and had a crush on her even before the wish. Wilma handled things so well, I found myself rooting for her to be able to keep her new friends and boyfriend.This is a young adult book and may not be suitable for younger children. The story explores kissing, and teenage friendship issues.I look forward to reading other books by Gail Carson Levine.Jill Ammon VanderwoodAuthor: Through the RugThrough The Rug: Follow That Dog (Through the Rug)",2016,en
Down these mean streets,"Thirty years ago Piri Thomas made literary history with this lacerating, lyrical memoir of his coming of age on the streets of Spanish Harlem. Here was the testament of a born outsider: a Puerto Rican in English-speaking America; a dark-skinned morenito in a family that refused to acknowledge its African blood. Here was an unsparing document of Thomas's plunge into the deadly consolations of drugs, street fighting, and armed robbery--a descent that ended when the twenty-two-year-old Piri was sent to prison for shooting a cop. As he recounts the journey that took him from adolescence in El Barrio to a lock-up in Sing Sing to the freedom that comes of self-acceptance, faith, and inner confidence, Piri Thomas gives us a book that is as exultant as it is harrowing and whose every page bears the irrepressible rhythm of its author's voice. Thirty years after its first appearance, this classic of manhood, marginalization, survival, and transcendence is available in a new edition.",['Piri Thomas'],Graymalkin Media,2016-02-23,['Fiction'],B0007F8QQI,A2OOP6J0YPHTW3,3/3,5.0,1024963200,This Book is RAW....,"Piri Thomas is a great writer. From the First page this book had me hooked. His writing is so descriptive it was like watching a movie in my head....As he describes his early life and adolescents in the barrio you feels as thou your right there...He holds nothing back, the language is raw and he keeps it real.... I would definitly recommend this book......A++",2016,en
Hidden,"When Wren Abbott and Darra Monson are eight years old, Darra's father steals a minivan. He doesn't know that Wren is hiding in the back. The hours and days that follow change the lives of both girls. Darra is left with a question that only Wren can answer. Wren has questions, too. Years later, in a chance encounter at camp, the girls face each other for the first time. They can finally learn the truth—that is, if they're willing to reveal to each other the stories that they've hidden for so long. Told from alternating viewpoints, this novel-in-poems reveals the complexities of memory and the strength of a friendship that can overcome pain.",['Helen Frost'],"Farrar, Straus and Giroux (BYR)",2016-09-06,['Juvenile Fiction'],0778321940,ANJJJC3BU55WB,1/1,3.0,1146182400,"Zach's Review on ""Hidden""","Hidden is a great novel because of the authors ability to make Tricia Campbell a realistic character. Quinn seems to do this through her use of two story lines. The first is of a wealthy woman who has to escape her abusive husband and the second is the woman in a lifestyle that is common compared to how most American's live. She isn't completely wealthy and, in fact, tends to make her own belongings. She is able to hold a strong, romantic relationship with a paramedic and she has a roof above her head. In ""Hidden"", Tricia Campbell is the narrator which gives a psychological view of the stories events. This makes the story more intense for the reader. This is enhanced by the imagery that Quinn uses. Even if it is sometimes too intense, Quinn does have the ability to take the reader to the scene of the crime including the accident in which Scott McCall's life changed and the events leading up to Tricia Campbell's freedom from her husband.The problem with this story is that it went into intense descrptions about the sexual abuse that Tricia Campbell's husband gave her which could have been expressed in a less intense and more efficient manor. The events could have been to another character instead of the reader being taken to the crime.",2016,en
Bliss,"New York Times bestselling author Lauren Myracle offers a spine-tingling, unforgettable story of friendship gone very, very wrong. Lauren Myracle brings her keen understanding of teen dynamics to a hypnotic horror story of twisted friendship. When Bliss’s hippie parents leave the commune and dump her at the home of her aloof grandmother in a tony Atlanta neighborhood, it’s like being set down on an alien planet. The only guide naive Bliss has to her new environment is what she’s seen on The Andy Griffith Show. But Mayberry is poor preparation for Crestview Academy, an elite school where the tensions of the present and the dark secrets of the past threaten to simmer into violence. Openhearted Bliss desperately wants new friends, making her the perfect prey of a troubled girl whose obsession with a long-ago death puts Bliss, and anyone she’s kind to, in mortal danger. Lauren Myracle has taken the ubiquitous friendship novel to a new, dark place. F&P level: Z+</DIV>",['Lauren Myracle'],Abrams,2013-03-15,['Juvenile Fiction'],0758209193,A8Z3GNRR5SWRR,0/0,5.0,1358640000,"Starved for good, black lesbian romance novels!","Okay, so there aren't that many good romance novels about lesbian women of African decent so I may be slightly earnest with this review but this book was VERY good! I stumbled onto Ms. Zedde's novels some weeks back and I think this has to be her best novel. One reviewer describes her as dependable in the black lesbian community, so true.I loved ""Hungry for It"" and really liked the preceding novel to it, ""Taste of Sin"" but this one (one of her first I think), it has a certain level of maturity that I felt the others lacked. Can't really explain it; maybe because both main characters work full-time jobs, maybe it's their ages. But the dialog was so mature and witty. Sexy as hell to me. Additionally, I loved the setting! I can relate to it.Great character development. Fell in love with Hunter. I think we all did though. I liked Sinclair's dad too. Too often we get the non-existent, ghost of a male, in these novels. I also love that the black women in her novels are BLACK. Not black women trying to be white. I can't fully explain what I mean without getting into an essay but I think Ms. Zedde is aware of this in the black culture and is trying to find a balance. This is good.It's hard for me to find books that I can relate to on all levels. I'm encouraged when I can read about an intelligent black woman being successful, loving herself and falling in love with another intelligent black woman.Overall a 5/5 and definitely my favorite black lesbian novel at the moment. Those steamy love/sex scenes were epic too. Its worth it.",2013,en
THE GREATEST THING IN THE WORLD,"Based on 1 Corinthians 13, this well-loved classic provides life-changing insight into the nine components of love: patience, kindness, humility, generosity, courtesy, unselfishness, good temper, guilelessness, and sincerity. The simple beauty and positive truths of this dynamic message will encourage readers to practice the power and blessing of love in every area of life.",['Henry Drummond'],Revell,2011-01-01,['Religion'],B000PRQ96W,A2M68I9YYA88N7,1/5,1.0,1260576000,Mailing of The Greatest Thing in the World,"When I ordered a single copy of The Greatest Thing in the World ( a very slim volume ), I was given the shipping and handling charge of around $10 - when I ordered three copies of the same volume the shipping and handling went up to around $30 although the actual postage was less than $10 (letter mail) - obviously you are making a bundle on what you call ""handling"" - I shall not readily use Amazon.com again.",2011,en
Little Women,"Op eigen wieken is het vervolg op Louisa May Alcotts meesterwerk Little Women, in het Nederlands uitgegeven als Onder moeders vleugels. In dat boek volgen we de zussen Alcott, die losjes zijn gebaseerd op de schrijfster zelf en haar drie zussen. In Op eigen wieken zijn de jonge zussen uit het eerste deel opgegroeid. De kwesties waar ze mee worstelen hebben nu een ander karakter dan in hun kindertijd, en elk op hun eigen manier gaan de zussen om met het vinden van werk, een partner en het krijgen van kinderen. Na Op eigen wieken volgen nog twee delen over de levens van de familie Alcott. Het verhaal is vele malen verfilmd en op de planken gebracht. Louisa May Alcott (1832-1888) schreef ook voor volwassenen, maar had vooral veel succes als schrijfster van kinderboeken. Haar bekendste werk is Little Women, een autobiografische roman die nog twee vervolgboeken kreeg, en talloze malen bewerkt is tot toneelstukken en films. Alcott was ook politiek zeer actief en maakte zich onder andere sterk voor vrouwenrechten en afschaffing van de slavernij.",['Louisa May Alcott'],Lindhardt og Ringhof,2018-12-19,['Fiction'],0075543893,A29DRSUUFBZRR,1/1,4.0,1326585600,almost perfect,"Read the book, watched the movie and read the book again. This book will pull at your heart strings. A different time/era. But it is easy to relate to. It reminds us to embrace our families, be strong in our ups and downs. Step back and view complicated relationships and remember somehow it all works out.",2018,en
